contradiction_id,contradiction_title,side_a,side_b,manifestation,why_dangerous,current_status,resolution_needed,related_phase,priority,import_status
CONTR-IPAC-001,Living Meaning vs Formalization,Living meaning must remain alive.,Formalization is required for portability and execution.,Repeated tension between artifacts and dead documentation.,Either chaos or lifeless documentation.,partially_clarified,Need operational minimal artifact structure.,Phase 1; Phase 2; Phase 4,critical,import_to_open_questions
CONTR-IPAC-002,Conceptual Depth vs Execution Simplicity,IPaC has deep conceptual architecture.,First execution/communication must be simple enough to test.,Execution artifacts became detailed before being reclassified.,Overcomplexity blocks field contact; oversimplification distorts concept.,unresolved,Field-facing simplification test later.,Phase 2; Phase 5,high,import_to_open_questions
CONTR-IPAC-003,Research Discipline vs Action,Research prevents false maturity.,Too much research delays field evidence.,Phase 5 and Phase 8 both warn against research-as-delay.,Project becomes self-referential.,partially_clarified,Wave 2 closure then controlled next action.,Phase 5; Phase 8,high,import_to_open_questions
CONTR-IPAC-004,Architecture Discipline vs Architecture-as-Delay,Architecture invariants protect system boundaries.,Further architecture can postpone reality contact.,Earlier Phase 4 execution/architecture confusion.,Endless meta-architecture.,partially_clarified,Further architecture needs gap justification.,Phase 4; Phase 8,critical,import_to_architecture_review
CONTR-IPAC-005,Human Subject vs AI Structuring,Human owns intent and final judgement.,"AI structures, packages and synthesizes strongly.",AI over-synthesis and yes-man drift were identified.,Authorship drift and false coherence.,partially_clarified,Strong role boundary and review rules.,Phase 2; Phase 8,critical,import_to_open_questions
CONTR-IPAC-006,Canon Stability vs Controlled Rebuild,Canon must remain stable enough to guide work.,Living knowledge must rebuild based on evidence.,Core lifecycle includes controlled rebuild.,Premature rewrite or frozen canon.,unresolved,Define rebuild thresholds and trace rules.,Phase 4,high,import_to_architecture_review
CONTR-IPAC-007,Knowledge Artifact vs Dead Documentation,Artifacts make knowledge portable.,Artifacts can become dead documentation if over-bureaucratized.,Repeated lesson: formalize without killing meaning.,Loss of living core.,partially_clarified,Minimal structure and review discipline.,Phase 2; Phase 8,high,import_to_open_questions
CONTR-IPAC-008,Field Evidence vs Internal Coherence,Internal coherence enabled strong artifacts.,Field evidence is absent for key claims.,Phase 5 says no field validation claimed.,False maturity.,needs_field_validation,Field or expert validation later.,Phase 3R; Phase 5,critical,import_to_hypothesis_review
CONTR-IPAC-009,Tool Support vs Tool Capture,Tools support trace and portability.,Tools can take over concept identity.,Obsidian/Git/RAG/MCP/Codex risks named.,IPaC becomes toolchain story.,needs_research,Tool boundary and practical validation.,Phase 5,high,import_to_research_backlog
CONTR-IPAC-010,Resonance Communication vs Marketing,External communication should preserve resonance.,Public communication may become ordinary marketing or content factory.,Channels were parked as execution candidates.,Flattening and channel-driven thinking.,parked,Return only after concept/validation boundaries.,Phase 5; Phase 8,medium,park_for_later
